,tweet_id,company,company_count,created_at,favorite_count,retweet_count,screen_name,tweet,label
0,1128984581330407424,BANCO DO BRASIL,1,2019-05-16 11:24:34,0,3,AgenciaEstado,RT @colunadobroad: Diretor afastado do BB é indicado para o Patagônia @estadao:  https://t.co/Lb1D94DIPE https://t.co/tlms2WZRG6,0.0
1,1128600913092857856,IGUATEMI,1,2019-05-15 10:00:00,4,1,AgenciaEstado,"Iguatemi vai repensar mix de lojistas para reverter queda na ocupação dos shoppings
https://t.co/ZTmlbuFU8r Foto: Gabriela Biló/Estadão https://t.co/35VEeDYjRH",1.0
2,1128245224294293504,IRB,1,2019-05-14 10:26:37,0,1,AgenciaEstado,RT @colunadobroad: IRB Brasil Re busca incrementar negócios no México @colunadobroad:  https://t.co/BzCXlaCcBJ https://t.co/BcfR48AicM,1.0
3,1127542253159952384,ITAÚ,1,2019-05-12 11:53:16,0,4,AgenciaEstado,RT @colunadobroad: Itaú Unibanco aposta em novo modelo de agências rumo ao banco do futuro @estadao:  https://t.co/v8dnYGS5XU https://t.co/…,1.0
4,1127153121363419137,IGUATEMI,1,2019-05-11 10:07:00,6,1,AgenciaEstado,Iguatemi fecha parceria com @iFood e acirra concorrência nas entregas via shoppings https://t.co/MjqqD85fzM Foto: Helvio Romero/Estadão https://t.co/tZif0Aj44U,1.0
5,1126927749791277059,VALE,1,2019-05-10 19:11:27,1,1,AgenciaEstado,"As três prioridades daqui em diante são segurança, pessoas e reparação, diz presidente interino da Vale https://t.co/3P9lMob9ll Foto: Wilton Júnior/Estadão https://t.co/6FRbZOSwC3",1.0
6,1126435268192559104,CIELO,1,2019-05-09 10:34:30,2,0,AgenciaEstado,"Atacada, Cielo diz que não vai virar uma nova Kodak #maquininhas #cielo @AgenciaEstado :  https://t.co/RL4mYjAlYc https://t.co/CcoUFkz88o",0.0
7,1126078103917334529,PETROBRAS,1,2019-05-08 10:55:16,4,1,AgenciaEstado,"Fique de olho: Mercado olha Petrobras e balança chinesa, com Previdência no radar antes do Copom.",0.0
8,1125715108217466880,PETROBRAS,1,2019-05-07 10:52:51,10,2,AgenciaEstado,Fique de olho: Comércio dos EUA e China nutre cautela em meio à espera por Previdência e Petrobras,0.0
9,1124275377000603649,TIM,1,2019-05-03 11:31:52,0,2,AgenciaEstado,RT @colunadobroad: Tim deslancha na oferta de chamadas de voz pela rede 4G @estadao:  https://t.co/gPqTZUB6fZ https://t.co/hU0UWBU0vX,1.0
10,1123883457438994432,SANTANDER,1,2019-05-02 09:34:31,0,3,AgenciaEstado,RT @colunadobroad: Santander e Bonsucesso avançam em negociações da Olé @colunadobroad:  https://t.co/6YDvh0gBQh https://t.co/gT8TNcJbjp,1.0
11,1123166798428495872,BANCO DO BRASIL,1,2019-04-30 10:06:46,0,2,AgenciaEstado,RT @colunadobroad: Caixa escolhe bancos para ofertas de BB e Alupar @estadao:  https://t.co/Rc9Sjn6lDY https://t.co/3VSzK8OpZX,0.0
12,1121366959512346627,BRADESCO,1,2019-04-25 10:54:51,7,3,AgenciaEstado,Fique de olho: Mercado olha IPCA-15 e balanço do Bradesco antes de Previdência na comissão especial,0.0
13,1119922170493378560,ITAÚ,1,2019-04-21 11:13:47,0,4,AgenciaEstado,RT @colunadobroad: Vice-presidente do Itaú BBA acompanha Milton Nascimento em turnê @estadao:  https://t.co/JQ9Nzsjkoi https://t.co/941nvu1…,0.0
14,1118545835875282946,BANCO DO BRASIL,1,2019-04-17 16:04:43,0,2,AgenciaEstado,RT @colunadobroad: Novo conselho do BB gera embate e pressiona CVM @estadao:  https://t.co/Z30X4WA2zh https://t.co/lkepJ9yiAv,0.0
15,1118105867893772288,PETROBRAS,1,2019-04-16 10:56:26,3,1,AgenciaEstado,"Fique de olho: mercado monitora ações a caminhoneiros, de olho em Petrobras e espera por Previdência",0.0
16,1117396430870712320,BRADESCO,1,2019-04-14 11:57:23,0,1,AgenciaEstado,"RT @colunadobroad: Com inovabra habitat, do Bradesco, startups superam marca de R$ 600 mi @estadao:  https://t.co/HAb4pOXag9 https://t.co/B…",1.0
17,1116047779992829953,PETROBRAS,1,2019-04-10 18:38:20,2,4,AgenciaEstado,"Cade condena BR Distribuidora e Ipiranga por ajudarem cartel de postos em MG
https://t.co/0CfggCJ30G Foto: Tiago Queiroz/Estadão https://t.co/QAt4jtpozz",-1.0
18,1114855983799578624,BRADESCO,1,2019-04-07 11:42:34,0,3,AgenciaEstado,RT @colunadobroad: Bradesco vai mudar sede do banco de atacado em SP @estadao:  https://t.co/mWxjZDi4dK https://t.co/HKBAzRytS5,0.0
19,1114855970339983360,PÃO DE AÇÚCAR,1,2019-04-07 11:42:31,0,1,AgenciaEstado,RT @colunadobroad: GPA turbina vendas com ofertas via aplicativos do Extra e Pão de Açúcar @estadao:  https://t.co/R6ebman7dd https://t.co/…,1.0
20,1114182676536340481,ITAÚ,1,2019-04-05 15:07:05,0,3,AgenciaEstado,RT @colunadobroad: Itaú Unibanco aposta em reconhecimento facial no crédito a veículo @estadao:  https://t.co/caK8AOTfX9 https://t.co/k4wFl…,1.0
21,1112489813020688384,PETROBRAS,1,2019-03-31 23:00:15,0,3,AgenciaEstado,RT @broadpolitico: Ministério das Minas e Energia: Governo brasileiro negocia investimento da Petrobras em leilão em Israel https://t.co/Bo…,1.0
22,1112039442213203969,EMBRAER,1,2019-03-30 17:10:38,5,0,AgenciaEstado,"Embraer lista série de riscos que podem afetar seus negócios no Brasil, entre eles, incertezas sobre a implementação de mudanças pelo governo em políticas públicas, regulações e legislações, bem como possíveis novos efeitos da Lava Jato. https://t.co/rNHRoRbLEJ",-1.0
