client_id,renda,idade,empréstimo,renda/emp
1,66155.9250950813,59,8106.53213128514,1
2,34415.1539658196,48,6564.745017677379,1
3,57317.1700630337,63,8020.953296386468,1
4,42709.534200839706,46,6103.642260140699,1
5,66952.68884534019,19,8770.09923520439,1
6,24904.064140282597,57,15.498598437827196,1
7,48430.3596126847,27,5722.58198121271,1
8,24500.1419843175,33,2971.00330971188,1
9,40654.8925372772,55,4755.8252798016,1
10,25075.872770976293,40,1409.23037111453,1
11,64131.4153722487,26,4351.0289707232505,1
12,59436.847122851796,60,9254.24453803174,1
13,61050.3460792825,26,5893.26465933928,1
14,27267.9954580963,62,4759.7875810455,1
15,63061.960174236396,39,1850.36937703064,1
16,28.0,52,36.0,0
17,43548.6547113396,40,3935.5444533423492,1
18,43378.1751943752,61,3277.7375531263,1
19,20542.365072760702,62,3157.442289970661,1
20,58887.3575488105,26,4965.51606626419,1
21,23000.7840017788,32,1148.11805715996,1
22,28.0,52,36.0,0
23,23329.3194137514,49,222.622298697307,1
24,27845.8008938469,52,4959.92122589578,1
25,65301.9840293564,49,5465.26788565462,1
26,47451.6301229596,27,5361.28271628474,1
27,28.0,52,36.0,0
28,45727.4598698132,56,6376.82294883561,1
29,59417.805406265,40,2082.62593812344,1
30,58842.8913080133,55,10871.1867897838,1
31,48528.8527957164,40,6155.78467025544,1
32,23526.3025551103,40,2862.0101387461,1
33,67252.9006074183,38,4221.30315714475,1
34,58886.8512935005,39,7271.552032470578,1
35,57584.9737902172,37,1728.4237547148,1
36,26289.9723066948,21,341.146965986397,1
37,25952.3814707063,58,2109.2007717368697,1
38,32464.091880247,50,4326.70507344396,1
39,60921.0631041788,19,968.836382674606,1
40,26578.5366925411,33,3489.84313638823,1
41,66260.1215578616,33,7035.58910734261,1
42,58787.455239798895,63,4167.78672391926,1
43,62545.7087112591,49,4362.90581198044,1
44,24381.9534475915,25,4227.0189863608,1
45,67852.1058685146,47,5730.588251384711,1
46,41725.6128555164,18,1185.2146998461901,1
47,41896.9715991989,47,4892.209733649001,1
48,44379.7296541743,50,1814.33508159906,1
49,28416.899375151803,58,1788.97373591901,1
50,68427.163111046,46,1658.0702332123599,1
51,35975.7949295454,36,6610.36617887751,1
52,57596.3540980592,29,3344.38440143163,1
53,29681.8830934353,55,1745.87167418898,1
54,51656.938674859695,48,7158.13906028943,1
55,24912.8426820971,49,267.696298601759,1
56,47761.8240681477,50,5549.799127875761,1
57,22248.1792024337,23,4364.9752805952,1
58,29724.4768752716,32,3075.34572793243,1
59,52143.8236744143,21,2393.0996785886,1
60,56577.7228609659,37,5947.42172129888,1
61,37660.770716611296,54,2129.59716481131,1
62,37403.7953955121,48,2044.04704534067,1
63,31652.6937345043,62,5151.07044539045,1
64,32727.700732648398,34,1087.91936375134,1
65,69078.6048118025,25,4076.58391416475,1
66,40622.194872703396,42,4949.90233344449,1
67,37521.0171728395,61,8.01207624713557,1
68,30735.808499157403,22,5946.822296779958,1
69,24857.6948815025,22,2692.1634585589,1
70,33180.2015937865,50,4621.99774242203,1
71,66628.2600886188,52,5992.885092439251,1
72,38564.932129811496,21,5604.16999048292,1
73,33704.5084964484,33,5898.0008931423,1
74,57018.484831787595,45,3507.25216607221,1
75,40526.9027850591,29,2119.98491147902,1
76,50827.9805234633,51,1765.98333716344,1
77,40775.8115953766,60,1922.6100223272501,1
78,55467.15141274031,57,9226.902040898041,1
79,38789.0293891542,61,7650.65520988095,1
80,58074.8401279561,50,7388.02443997422,1
81,57814.1063381918,44,7252.120003970849,1
82,45190.72918221349,54,7893.55988850644,1
83,36801.9071803428,43,5406.34492649729,1
84,68811.7794157006,24,4211.30261071966,1
85,30483.2955286838,34,4514.0097801128495,1
86,44930.39417313409,20,7708.31562497011,1
87,43671.456554438904,26,8066.69786524019,1
88,27612.9148015752,19,1513.62419967009,1
89,53607.326925266505,28,2378.7661730363297,1
90,33036.6831202991,25,958.9798221228019,1
91,64275.834888685495,61,7520.032053087841,1
92,30673.8375034183,59,383.107569352407,1
93,58793.6143088154,56,4391.981053651471,1
94,21053.4906177782,63,754.601882142809,1
95,42095.4222022556,55,1183.70456825763,1
96,50360.6787929311,29,4217.166823074771,1
97,41970.7244774327,63,1622.3173923260401,1
98,51663.41017931701,64,4147.8885848744,1
99,53601.81243624541,20,9601.375482171099,1
100,43439.98872675,24,6879.30600704276,1
101,51461.0531670041,37,7292.264176862579,1
102,41285.1723073982,48,2313.8250047973997,1
103,62895.7497701049,50,2001.28151391029,1
104,57296.1608227342,26,10601.082782855601,1
105,60844.092494808094,46,12072.255757971201,1
106,47634.5495483838,44,141.703817946414,1
107,23998.3236929402,30,3928.3039085182704,1
108,63391.6159672663,35,190.889274816911,1
109,21534.5512190834,44,228.33538696889,1
110,28255.6525128894,36,2109.2427976728,1
111,36496.1339323781,20,165.506090118747,1
112,41631.6662961617,53,106.09074717934999,1
113,68762.4166649766,21,2796.75230312401,1
114,30075.264924671494,29,2628.57792284269,1
115,41302.6741752401,39,1379.91312425834,1
116,39703.759427648,47,2403.4782156904503,1
117,63161.0920350067,60,804.092441476811,1
118,63062.1420964599,27,56.166164387319995,1
119,34507.5279055163,39,1793.75025542512,1
120,27954.7077650204,30,1627.0414050731,1
121,37369.3820601329,35,3783.6011509907507,1
122,43912.062740419104,24,7757.136788699259,1
